WORDS,DEFINITIONS,CONJUGATIONS
"['вы́тереть', 'pf']","['imperfective', 'вытира́ть', 'Definition: \n to  wipe ']","['Я вы́тру', 'Ты вы́трешь', 'Они вы́трет']"
"['замере́ть', 'pf']","['imperfective', 'замира́ть', 'Definition: \n to stand  motionless , to  freeze ']","['Я замру́', 'Ты замрёшь', 'Они замрёт']"
"['запере́ть', 'pf']","['imperfective', 'запира́ть', 'Definition: \n to  lock ']","['Я запру́', 'Ты запрёшь', 'Они запрёт']"
"['помере́ть', 'pf']","['imperfective', 'помира́ть', 'Definition: \n ( colloquial )  to  die ']","['Я помру́', 'Ты помрёшь', 'Они помрёт']"
"['умере́ть', 'pf']","['imperfective', 'умира́ть', 'Definition: \n to  die  of natural causes']","['Я умру́', 'Ты умрёшь', 'Они умрёт']"
"['упере́ться', 'pf']","['imperfective', 'упира́ться', 'Definition: \n to  rest   (against) , to  set   (against) ']","['Я упру́сь', 'Ты упрёшься', 'Они упрётся']"
