WORDS,DEFINITIONS,CONJUGATIONS
"['ду́ть', 'impf']","['perfective', 'поду́ть', 'Definition: \n to  blow ']","['Я ду́ю', 'Ты ду́ешь', 'Они ду́ют']"
"['закры́ть', 'pf']","['imperfective', 'закрыва́ть', 'Definition: \n to  cover , to  hide ']","['Я закро́ю', 'Ты закро́ешь', 'Они закро́ет']"
"['запе́ть', 'pf']","['imperfective', 'запева́ть', 'Definition: \n to  start   singing , to  sing out']","['Я запою́', 'Ты запоёшь', 'Они запоёт']"
"['мы́ть', 'impf']","['perfective', 'помы́ть', 'Definition: \n ( transitive )  to  wash']","['Я мо́ю', 'Ты мо́ешь', 'Они мо́ют']"
"['накры́ть', 'pf']","['imperfective', 'накрыва́ть', 'Definition: \n to  cover   ( from above, e.g. with a lid ) ']","['Я накро́ю', 'Ты накро́ешь', 'Они накро́ет']"
"['откры́ть', 'pf']","['imperfective', 'открыва́ть', 'Definition: \n to  open ']","['Я откро́ю', 'Ты откро́ешь', 'Они откро́ет']"
"['откры́ться', 'pf']","['imperfective', 'открыва́ться', 'Definition: \n to  open ']","['Я откро́юсь', 'Ты откро́ешься', 'Они откро́ется']"
"['пе́ть', None]","[None, None, 'Definition: \n definite   singular   genitive  of  пе   ( pe )']","['Я пою́', 'Ты поёшь', 'Они пою́т']"
"['покры́ть', 'pf']","['imperfective', 'кры́ть', 'Definition: \n to  cover , to  roof  ( a house )\xa0; to  thatch , to  tile ']","['Я покро́ю', 'Ты покро́ешь', 'Они покро́ет']"
"['прикры́ть', 'pf']","['imperfective', 'прикрыва́ть', 'Definition: \n to  cover , to  screen , to close / shut softly ']","['Я прикро́ю', 'Ты прикро́ешь', 'Они прикро́ет']"
"['приоткры́ть', 'pf']","['imperfective', 'приоткрыва́ть', 'Definition: \n to  open  slightly, to set  ajar ']","['Я приоткро́ю', 'Ты приоткро́ешь', 'Они приоткро́ет']"
"['раскры́ть', 'pf']","['imperfective', 'раскрыва́ть', 'Definition: \n to  open ']","['Я раскро́ю', 'Ты раскро́ешь', 'Они раскро́ет']"
"['скры́ть', 'pf']","['imperfective', 'скрыва́ть', 'Definition: \n to  hide , to  conceal ']","['Я скро́ю', 'Ты скро́ешь', 'Они скро́ет']"
"['скры́ться', 'pf']","['imperfective', 'скрыва́ться', 'Definition: \n to  disappear , to  hide   from , to  go   into   hiding ']","['Я скро́юсь', 'Ты скро́ешься', 'Они скро́ется']"
