WORDS,DEFINITIONS,CONJUGATIONS
"['боро́ться', 'impf']","['perfective', 'поборо́ться', 'Definition: \n to  fight , to  wrestle , to  struggle , to  strive ']","['Я борю́сь', 'Ты бо́решься', 'Они бо́рются']"
"['коло́ть', 'impf']","[None, None, 'Definition: \n to  split , to  cleave , to  break   (sugar) , to  crack   (nuts) , to  chop   (firewood) ']","['Я колю́', 'Ты ко́лешь', 'Они ко́лют']"
