WORDS,DEFINITIONS,CONJUGATIONS
"['взя́ть', 'pf']","['imperfective', 'бра́ть', 'Definition: \n to  take ']","['Я возьму́', 'Ты возьмёшь', 'Они возьмёт']"
"['взя́ться', 'pf']","['imperfective', 'бра́ться', ""Definition: \n to take something with hands, to take (mutually, together) (e.g. each other's hands)""]","['Я возьму́сь', 'Ты возьмёшься', 'Они возьмётся']"
"['зажа́ть', 'pf']","['imperfective', 'зажима́ть', 'Definition: \n to  press , to  squeeze , to  clutch ']","['Я зажму́', 'Ты зажмёшь', 'Они зажмёт']"
"['заня́ть', 'pf']","['imperfective', 'занима́ть', 'Definition: \n to  borrow ']","['Я займу́', 'Ты займёшь', 'Они займёт']"
"['заня́ться', 'pf']","['imperfective', 'занима́ться', 'Definition: \n to  study , to  learn ']","['Я займу́сь', 'Ты займёшься', 'Они займётся']"
"['нажа́ть', 'pf']","['imperfective', 'нажима́ть', 'Definition: \n to  press , to  push ']","['Я нажму́', 'Ты нажмёшь', 'Они нажмёт']"
"['нача́ть', 'pf']","['imperfective', 'начина́ть', 'Definition: \n to  begin , to  start , to  commence']","['Я начну́', 'Ты начнёшь', 'Они начнёт']"
"['нача́ться', 'pf']","['imperfective', 'начина́ться', 'Definition: \n to  begin , to  start , to  set in , to  break out ']","['Я начну́сь', 'Ты начнёшься', 'Они начнётся']"
"['обня́ть', 'pf']","['imperfective', 'обнима́ть', 'Definition: \n to  hug , to  embrace ']","['Я обниму́', 'Ты обни́мешь', 'Они обни́мет']"
"['отня́ть', 'pf']","['imperfective', 'отнима́ть', 'Definition: \n to  take  (from) ']","['Я отниму́', 'Ты отни́мешь', 'Они отни́мет']"
"['подня́ть', 'pf']","['imperfective', 'поднима́ть', 'Definition: \n to  raise , to  elevate , to  increase']","['Я подниму́', 'Ты подни́мешь', 'Они подни́мет']"
"['подня́ться', 'pf']","['imperfective', 'поднима́ться', 'Definition: \n to  rise , to  go up , to  get up ']","['Я подниму́сь', 'Ты подни́мешься', 'Они подни́мется']"
"['пожа́ть', 'pf']","['imperfective', 'жа́ть', 'Definition: \n ( dated )  to  press , to  squeeze   ( now only used in set idioms below ) ']","['Я пожму́', 'Ты пожмёшь', 'Они пожмёт']"
"['поня́ть', 'pf']","['imperfective', 'понима́ть', 'Definition: \n to  understand , to  comprehend , to  see ']","['Я пойму́', 'Ты поймёшь', 'Они поймёт']"
"['прижа́ть', 'pf']","['imperfective', 'прижима́ть', 'Definition: \n to  press   (to) , to  clasp   (to) ']","['Я прижму́', 'Ты прижмёшь', 'Они прижмёт']"
"['прижа́ться', 'pf']","['imperfective', 'прижима́ться', 'Definition: \n to  press  oneself (to), to  nestle  up (to), to  snuggle  up (to), to  cuddle  up (to) ']","['Я прижму́сь', 'Ты прижмёшься', 'Они прижмётся']"
"['приня́ть', 'pf']","['imperfective', 'принима́ть', 'Definition: \n to  take ']","['Я приму́', 'Ты при́мешь', 'Они при́мет']"
"['приня́ться', 'pf']","['imperfective', 'принима́ться', 'Definition: \n to  set about , to  start   doing  (something)']","['Я приму́сь', 'Ты при́мешься', 'Они при́мется']"
"['приподня́ть', 'pf']","['imperfective', 'приподнима́ть', 'Definition: \n to  raise , to  lift  (a little)']","['Я приподниму́', 'Ты приподни́мешь', 'Они приподни́мет']"
"['сжа́ть', 'pf']","['imperfective', 'жа́ть', 'Definition: \n to  press , to  squeeze ']","['Я сожму́', 'Ты сожмёшь', 'Они сожмёт']"
"['сня́ть', 'pf']","['imperfective', 'снима́ть', 'Definition: \n to  take off , to  take away , to  take down ']","['Я сниму́', 'Ты сни́мешь', 'Они сни́мет']"
